NAID,Q5. Example 1: Types of decisions [Organization] needs to improve,acode1,acode2,acode3,acode4,acode5,acode6,acode7,acode8,acode9,acode10
10000420,Field Communication - There are several aspects of decisions that have been made that impact the Support Center that have been communicated poorly or not at all to our Operators. This has caused significant disruption in the operating community.,53,8,,,,,,,,
10000421,"Help Operators and team members more and faster.  They need relief, like pre filleted chicken and pre chopped romaine lettuce.  Simpler menu faster.",10,53,13,,,,,,,
10000422,More consequential decision-making needs to sit within ASTs...be closer to the field,41,,,,,,,,,
10000423,People decisions - it is very obvious diversity over rides getting the right person - specifically talking about field operations,69,,,,,,,,,
10000424,People Decisions - it is not clear how to navigate the organization or exactly what is valued in terms of leadership,70,12,,,,,,,,
10000426,"Deciding when to engage outside consultants versus leveraging talent on staff to facilitate, lead and contribute to key business meetings/activities. We have welcomed hundreds of talented new staff members to the organization with a wealth of relevant business experience who are capable of contributing valuable perspectives and learnings to our current challenges if given more opportunity.",2,33,,,,,,,,
10000427,REF,99,,,,,,,,,
10000429,Leadership selection at middle level,70,,,,,,,,,
10000430,Staff Career Progression,3,,,,,,,,,
10000431,Pushing more decisions to Ops leads and AST,41,,,,,,,,,
10000433,People promotions - we tend to promote people too quickly and in many cases for the wrong reasons.,3,,,,,,,,,
10000437,Level set on proper processes/expectations/responsibilities for those managing other.,98,,,,,,,,,
10000440,"Strategic decisions like flexibility for people to work away from Atlanta. Mobility, speed of IT transformation.",64,13,,,,,,,,
10000441,Nothing comes to mind,98,,,,,,,,,
10000442,Decisions on site selections. Too often it seems we leave it up to Operators to figure out.,53,,,,,,,,,
10000444,Who they choose for high level leaders.  I think leaders slip through that are not ready for the scope of leadership given due to blind spots in their leadership in terms of what it is like to be on the other side of them and how they treat people.,70,,,,,,,,,
10000445,REF,99,,,,,,,,,
10000446,REF,99,,,,,,,,,
10000448,Decisions that demand customization to the market and/or Restaurant level,53,,,,,,,,,
10000449,I'm honestly not coming up with anything.,98,,,,,,,,,
10000450,"I feel like we do not need to get caught up in the current social confusion and start making decisions on what we think the world wants to see as far as hiring, promotions as well as business decisions.  Stay the course!  Corporate Purpose always.",3,,,,,,,,,
10000451,REF,99,,,,,,,,,
10000453,"Where we focus our energy and headcount e.g. we are bleeding and rather than stop the bleeding, we are adding pretty clothes and buying new cars for the bleeding person.",2,,,,,,,,,
10000454,REF,99,,,,,,,,,
10000456,REF,99,,,,,,,,,
10000457,Internal selection of staff.  Focus on qualifications vs. all relationships,98,,,,,,,,,
10000458,Asset allocation - we are overinvesting in growth and underinvesting in building an infrastructure to support the growing business,54,,,,,,,,,
10000459,Mixed messages,8,,,,,,,,,
10000460,Department decisions need to be made more quickly and without the levels of leadership on approval that people in those roles are not as close to the work.,52,70,34,13,41,,,,,
10000461,Department decisions (let the SME and leader make the final decision),52,70,,,,,,,,
10000462,REF,99,,,,,,,,,
10000463,Reaching a broader and more diverse audience through regional menu items.,10,69,,,,,,,,
10000464,Leadership accountability for objective staff selection decisions need improvement,70,,,,,,,,,
10000465,Working full of life.  It still feels way too controlled for the sake of optics not because it improves creativity/productivity,98,,,,,,,,,
10000466,Working a little bit more on the technology aspect to work more efficiently.,6,,,,,,,,,
10000468,"Staff members were asked not to travel during the pandemic, which was the right choice. I think we need to swing the pendulum and have all staff (who are willing and able) spend time in restaurants supporting Operators.",53,,,,,,,,,
10000476,people decisions (non-executive),98,,,,,,,,,
10000479,"High level communication is good, but there are too many available platforms and applications.",8,6,,,,,,,,
10000480,Some People Leadership decisions,70,,,,,,,,,
10000481,REF,99,,,,,,,,,
10000482,Policies that impact people that fall into the minority (i.e. expanded care and benefits to foster parents).,20,,,,,,,,,
10000485,People decisions. Having more diverse leadership teams across all departments.,70,69,,,,,,,,
10000486,Covid decisions. Don't be afraid to make your own decisions rather than blindly follow the CDC. Take into consideration the opinions of your Operators and Staff.,24,72,,,,,,,,
10000487,"Decisions relating to employees not doing their jobs or doing them well. As an organization, even with Milestones, leaders do not properly address poor performance in a timely manner, which leads to others having to pick up the slack and becoming less satisfied with their jobs.",27,70,,,,,,,,
10000488,Decisions that require an exception to the stated policy/standard protocol  Eg  - opening date  - hours of operations  - dining room reopening.  CFA doesn?t have clear decision making practices for who and how to decide when an exception to the standard is needed.,12,,,,,,,,,
10000489,Termination decisions regarding staff.  It is still incredibly difficult to terminate someone for poor performance over time.  It's an enormous drain on people leaders time and energy and sends a bad message to other staff.,27,,,,,,,,,
10000490,Many decisions at Chick-fil-A still require consensus.  The joke is often that you need to meet with everyone before the real meeting to make sure the real meeting is smooth and you are not met with too much resistance or the inability to make a decision.,14,15,,,,,,,,
10000491,Area Support Teams - We need a market focus,98,,,,,,,,,
10000494,"Decisions regarding public perception.  Many decisions are made with what appears to be fear of public reaction and are contrary to the ideals that Truett built this business on.  It disappoints me to see so much attire created with the Chick-fil-A brand muted, or very subtly shown.  I'm proud of our company and these decisions make it appear as if we shouldn't be.",98,,,,,,,,,
